drug,condition,rating,has_pred_adr,adr_count,predicted_adrs_str
Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1,False,0,none
Lexapro,Generalized Anxiety Disorde,4,True,2,"depression, stress"
Neulasta,Neutropenia Associated with Chemotherapy,1,True,1,swelling
Etonogestrel,Birth Control,10,True,1,headache
Benzonatate,Cough,1,True,5,"cough, headache, nightmare, coughing, cough"
Meclizine,Motion Sickness,10,True,2,"motion, sickness"
Amitriptyline,Anxiety and Stress,1,True,7,"anxiety, dizziness, memory loss, scary, nightmares, mouth and, de states"
Ethinyl estradiol / norethindrone,Birth Control,2,True,1,headache
Ethinyl estradiol / norgestimate,Birth Control,8,True,4,"pregnancy, scare, depression, anxiety"
Escitalopram,Generalized Anxiety Disorde,9,True,2,"headache, reached"
Xarelto,Deep Vein Thrombosis,10,True,1,pain
Venlafaxine,Depression,9,False,0,none
Belviq,Weight Loss,2,True,1,nausea
Paxil,Social Anxiety Disorde,9,True,2,"fatigue, anxiety"
Lubiprostone,"Constipation, Chronic",10,True,3,"back, pain, pain"
Levonorgestrel,Birth Control,9,True,4,"acne, acne, acne, acne"
Topiramate,Obesity,9,False,0,none
Linzess,Constipation,10,False,0,none
Levonorgestrel,Emergency Contraception,9,True,2,"nausea, nausea"
Naproxen,Pain,9,True,1,abscess
Ortho Tri-Cyclen Lo,4</span> users found this comment helpful.,8,True,4,"nausea, headache, noticed, mood swings"
Amoxicillin,Sinusitis,10,True,1,infection
Zoledronic acid,Prevention of Osteoporosis,7,True,2,"pain, fractured"
Lurasidone,Bipolar Disorde,5,True,1,anxiety disorder
Hydroxyzine,Anxiety,8,True,1,stress
Zomig,Migraine,10,True,4,"migra, migra, outrage, scared"
Phentermine,Weight Loss,10,False,0,none
Levonorgestrel,Emergency Contraception,10,True,2,"nausea, headache"
Polyethylene glycol 3350 with electrolytes,Bowel Preparation,10,False,0,none
Norgesic Forte,Muscle Spasm,10,False,0,none
Liraglutide,Weight Loss,8,False,0,none
Phentermine,Obesity,10,True,1,mouth and
Pristiq,Anxiety,8,True,6,"anxiety, depression, panic attacks, nausea, decreased appetite, mouth and"
Adipex-P,Weight Loss,10,False,0,none
Solifenacin,Overactive Bladde,3,True,1,dry mouth
Amphetamine / dextroamphetamine,ADHD,7,False,0,none
Varenicline,Not Listed / Othe,7,True,2,"vivid dreams, depression"
Duragesic,Chronic Pain,8,False,0,none
Tysabri,Multiple Sclerosis,7,False,0,none
Etonogestrel,Birth Control,10,True,6,"painful, ovarian, cysts, menopause, surgery, cysts"
Varenicline,Smoking Cessation,9,True,1,nausea
Neulasta,Neutropenia Associated with Chemotherapy,10,False,0,none
ParaGard,Birth Control,8,True,2,"vaginal dryness, painful"
Kyleena,Birth Control,6,False,0,none
Etonogestrel,Birth Control,8,True,1,headache
Trulicity,"Diabetes, Type 2",1,True,1,both
Nexplanon,Birth Control,6,True,2,"worry, anxiety swings"
Otezla,Psoriatic Arthritis,1,True,4,"migraine, headaches, depression, upset stomach"
Amitriptyline,Depression,10,False,0,none
NovoLog FlexPen,"Diabetes, Type 2",9,False,0,none
Celecoxib,Osteoarthritis,10,True,2,"pain, painful"
Nexplanon,Birth Control,1,True,2,"miscarriage, miscarriage"
Topiramate,Bipolar Disorde,10,False,0,none
Ethinyl estradiol / norgestimate,Birth Control,6,True,2,"mood swings, nausea"
Diethylpropion,Obesity,9,False,0,none
Isotretinoin,Acne,10,True,1,acne
Ergocalciferol,Vitamin D Deficiency,1,True,3,"migra, headache, migra"
"Multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation,9,False,0,none
Apri,Polycystic Ovary Syndrome,10,True,2,"polystic, acne"
Alprazolam,Panic Disorde,10,True,1,panic attacks
Falmina,Birth Control,2,False,0,none
Buprenorphine / naloxone,Opiate Dependence,9,False,0,none
Ciprofloxacin,Urinary Tract Infection,7,True,1,infection
Mesalamine,"Ulcerative Colitis, Active",7,True,2,"headache, fatigue"
Lisdexamfetamine,ADHD,7,True,2,"insomnia, depression"
Mucinex D,Cough and Nasal Congestion,1,True,1,cough
Nuvigil,Narcolepsy,10,True,3,"narcolepsy, cataplexy, drastically"
Xanax,Anxiety,10,True,2,"anxiety, anxiety attacks"
Carbamazepine,Trigeminal Neuralgia,1,True,1,pain
Ethinyl estradiol / levonorgestrel,Birth Control,5,True,2,"acne, mood swings"
Nuvigil,Shift Work Sleep Disorde,10,True,2,"sleep disorder, notice"
Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10,False,0,none
Hydrocortisone,Dermatitis,10,False,0,none
Gabapentin,Neuropathic Pain,2,False,0,none
Skyla,Birth Control,6,False,0,none
Alprazolam,Panic Disorde,10,False,0,none
Rizatriptan,Migraine,9,True,3,"headache, headache, nausea"
Sprintec,Birth Control,2,True,4,"nightmare, major, depression, anxiety"
Empagliflozin,"Diabetes, Type 2",10,False,0,none
Chantix,Smoking Cessation,9,False,0,none
Euflexxa,Osteoarthritis,10,False,0,none
Budesonide / formoterol,moterol),10,False,0,none
Citalopram,Anxiety and Stress,10,True,2,"anxiety, anxiety"
Phendimetrazine,Obesity,10,True,1,headache
Ethinyl estradiol / norethindrone,Birth Control,9,True,4,"nausea, headache, noticed, noticed"
Dapagliflozin,"Diabetes, Type 2",5,False,0,none
Victoza,"Diabetes, Type 2",4,True,5,"headache, nausea, vomiting, massive, coughing"
Indomethacin,"Gout, Acute",9,True,2,"gout, pain"
Belsomra,Insomnia,9,False,0,none
Venlafaxine,Depression,7,True,6,"major, depression, anxiety, mood swings, withdrawal symptoms, feeling sick"
Dulcolax,Constipation,1,True,2,"nausea, pain"
Duloxetine,Pain,8,False,0,none
Aluminum hydroxide / magnesium hydroxide / simethicone,Gas,9,True,1,pregnancy
Aleve,Sciatica,9,True,1,surgery
Modafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,10,True,1,fatigue
Canagliflozin,"Diabetes, Type 2",7,True,3,"yeast, infection, infection"
Alprostadil,Erectile Dysfunction,4,False,0,none
Tazorac,Acne,3,True,2,"acne, acne"
Suboxone,Opiate Dependence,9,True,3,"pain, pain, pain"
Lorazepam,Anxiety,10,True,2,"anxiety, panic attacks"
Effexor XR,Anxiety,1,True,1,serotonin syndrome
Implanon,Birth Control,10,True,2,"noticeable, painful"
Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,7,False,0,none
Orlistat,Obesity,10,False,0,none
Gabapentin,Bipolar Disorde,6,True,2,"noticeable, noticeable"
Clonidine,Opiate Withdrawal,10,True,1,menopause
Pamabrom,Premenstrual Syndrome,8,True,1,swelling
Lurasidone,Schizophrenia,2,True,1,fall
Mirena,Abnormal Uterine Bleeding,3,False,0,none
Amphetamine,Narcolepsy,10,True,1,fatigue
Zoloft,Panic Disorde,9,True,3,"anxiety disorders, panic attacks, stress"
Leflunomide,Rheumatoid Arthritis,5,True,5,"rheumatoid, arthritis, fall, rheumatoid, arthritis"
Depakote ER,Bipolar Disorde,4,True,4,"headache, low, back, pain"
Exemestane,Breast Cance,1,True,5,"insomnia, headache, increased appetite, lethargy, dizziness"
Fexofenadine / pseudoephedrine,Allergic Rhinitis,1,False,0,none
Fluoxetine,Premenstrual Dysphoric Disorde,6,True,2,"sweating, headache"
Nitrofurantoin,Urinary Tract Infection,9,True,2,"nausea, scared"
Baclofen,Alcohol Withdrawal,10,False,0,none
Buprenorphine / naloxone,Opiate Dependence,10,True,1,pain
Tramadol,Pain,1,True,1,pain
Chlorpheniramine / hydrocodone,Cough,10,True,6,"vasomotor, rhinitis, coughing, coughing, notice, hangover"
Apremilast,Plaque Psoriasis,8,True,1,loose stool
Plan B,Emergency Contraception,10,True,1,pregnancy
Tiotropium,"COPD, Maintenance",4,True,4,"glaucoma, pains, constipation, hoarseness"
Seroquel,Bipolar Disorde,1,False,0,none
Benadryl Allergy,Allergic Reactions,10,True,4,"cough, coughed, incontinence, rash"
Nitrofurantoin,Urinary Tract Infection,1,True,3,"antibiotics, scary, headache"
Prochlorperazine,Nausea/Vomiting,10,True,1,nausea
Sulfamethoxazole / trimethoprim,Acne,9,True,7,"cystic, acne, acne, cysts, acne, cysts, pimples"
Concerta,ADHD,8,False,0,none
Liraglutide,"Diabetes, Type 2",7,True,4,"vomiting, nausea, scared, nausea"
Clonazepam,Anxiety,10,True,3,"agoraphobia, panic attacks, panic attacks"
Temazepam,Insomnia,2,False,0,none
Zyrtec,Allergic Rhinitis,3,True,1,pain
Pioglitazone,"Diabetes, Type 2",10,True,1,scare
Plan B One-Step,Emergency Contraception,8,True,3,"dizziness, tenderness, fatigue"
Nexplanon,Birth Control,8,True,3,"headache, cystic, acne"
Lexapro,Generalized Anxiety Disorde,7,True,2,"yawning, insomnia"
Elocon,Psoriasis,9,True,3,"psoriasis, scratching, psoriasis"
Safyral,0</span> users found this comment helpful.,2,False,0,none
Kariva,Birth Control,1,True,1,mood swings
Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,5,True,2,"cough, insomnia"
Effexor XR,Postpartum Depression,4,True,1,depression
Victoza,"Diabetes, Type 2",9,False,0,none
Sonata,Insomnia,9,True,4,"migra, aura, fall, headache"
Varenicline,Smoking Cessation,5,True,1,depression
Sprintec,Birth Control,10,False,0,none
Lacosamide,Seizures,7,True,2,"memory loss, dizziness"
Tri-Sprintec,Acne,7,True,5,"acne, cystic, acne, stressed, stressed"
Naltrexone,Alcohol Dependence,10,False,0,none
Tramadol,Anxiety,8,True,6,"fibromyalgia, pain, anxiety, anxiety, anxiety, anxiety"
Valacyclovir,Cold Sores,10,False,0,none
Pennsaid,Osteoarthritis,10,False,0,none
Etonogestrel,Birth Control,7,True,1,headache
Copper,Birth Control,8,True,2,"worry, fatigue"
Lamotrigine,Depression,9,True,1,depression
Sumatriptan,Migraine,9,True,4,"migraine, headaches, migra, migra"
Chantix,Smoking Cessation,9,True,1,surgery
Paxil,Anxiety,9,True,2,"anxiety, depression"
Oxycodone,Chronic Pain,3,False,0,none
Isotretinoin,Acne,10,True,2,"cystic, acne"
Lorcaserin,Weight Loss,10,False,0,none
Tamiflu,Influenza,10,False,0,none
Nexplanon,Birth Control,1,False,0,none
Lidoderm,Pain,7,True,2,"pain, arthritis"
Pregabalin,ibromyalgia,10,True,1,vomiting
Advair Diskus,"Asthma, Maintenance",1,True,1,hypertension
Xeljanz,Rheumatoid Arthritis,1,True,2,"anxiety, depression"
Flector Patch,Pain,8,True,4,"surgery, frozen shoulder, pain, scar"
Methylin ER,ADHD,10,False,0,none
Esomeprazole,GERD,5,True,1,fatigue
Mucinex,ibromyalgia,9,True,1,pain
Depo-Medrol,Inflammatory Conditions,10,True,1,inflammation
Depo-Provera,Birth Control,10,False,0,none
Concerta,ADHD,9,False,0,none
Vyvanse,ADHD,8,False,0,none
Veltin,Acne,8,True,1,discouraged
Etonogestrel,Birth Control,10,True,1,swings .
Skyla,Birth Control,5,True,2,"painful, painful"
Nexplanon,Birth Control,8,True,4,"depression, anxiety, migra, headache"
Ethinyl estradiol / levonorgestrel,Birth Control,9,True,2,"acne, headache"
Scopolamine,Motion Sickness,10,True,3,"motion, sickness, participate"
Lupron Depot,Endometriosis,6,True,1,pain
Ethinyl estradiol / norelgestromin,Birth Control,5,True,2,"headache, headache"
Clopidogrel,Ischemic Stroke,1,True,2,"pain, headache"
Ambien,Insomnia,3,True,2,"insomnia, fallen"
Naproxen,Period Pain,10,True,1,pain
Varenicline,Smoking Cessation,10,False,0,none
Mirapex,Restless Legs Syndrome,9,True,1,discomfort
Tioconazole,Vaginal Yeast Infection,10,True,4,"yeast, infection, pain, painful"
Copper,Birth Control,1,False,0,none
Azelastine,Allergic Rhinitis,1,False,0,none
Carvedilol,Angina,10,True,1,surgery
Imiquimod,Human Papilloma Virus,9,True,4,"warts, warts, warts, painful"
Sertraline,Depression,10,True,1,mood swings
Next Choice,Emergency Contraception,10,True,1,headaches
Implanon,Birth Control,10,False,0,none
Ethinyl estradiol / norethindrone,Birth Control,3,True,2,"painful, drastically"
Asacol,"Ulcerative Colitis, Maintenance",1,True,2,"ulcer, colitis"
Milnacipran,ibromyalgia,6,True,6,"dramatically, pain, noticed, fatigue, forget, stress"
Lorcaserin,Obesity,8,True,1,drastically
Ethinyl estradiol / norgestimate,Birth Control,6,True,2,"pregnancy, pain"
Gabapentin,Peripheral Neuropathy,4,True,3,"pain, breakthrough pain, up sensation"
Dextromethorphan / guaifenesin,Cough,5,True,1,pains
Ultram,ibromyalgia,8,True,4,"fibromyalgia, pain, notice, fibromyalgia"
NuvaRing,Birth Control,4,True,1,vaginal discharge
Vortioxetine,Depression,9,True,2,"depression, anxiety"
Paroxetine,Depression,9,True,2,"depression, depression"
TriNessa,Birth Control,10,True,1,breast tender
Guaifenesin,Bronchitis,10,True,1,dangerous
Ethinyl estradiol / norelgestromin,Birth Control,10,False,0,none
Aldara,Keratosis,7,True,1,keratosiss
Micardis HCT,High Blood Pressure,10,False,0,none
Xulane,Birth Control,8,True,2,"noticed, painful"
Provera,Amenorrhea,8,False,0,none
Valtrex,Cold Sores,10,True,4,"blisters, sunburn, stressed, blisters"
Cryselle,Abnormal Uterine Bleeding,8,True,1,sexually actively
Methylphenidate,Narcolepsy,9,True,2,"narcolepsy, depression"
Seroquel,Insomnia,8,True,1,insomnia
Orsythia,Birth Control,1,True,4,"aches, headache, nausea, headaches"
Clindamycin,Bacterial Infection,8,True,4,"tooth, abscess, swelling, infection"
Synvisc-One,Osteoarthritis,10,True,2,"surgery, painful"
Levonorgestrel,Birth Control,10,True,2,"painful, pain"
Flagyl IV,Diverticulitis,2,True,4,"chill, tremors, nausea, vomiting"
Amitriptyline,Vulvodynia,7,True,2,"went, constip"
Depo-Provera,Birth Control,2,False,0,none
Povidone iodine,Topical Disinfection,1,False,0,none
Amlodipine,High Blood Pressure,1,True,1,hypertension
Clonazepam,Panic Disorde,10,True,1,depression
Etonogestrel,Birth Control,2,True,3,"pregnancy, pains, pains"
Sominex,Insomnia,5,False,0,none
Roxicodone,Chronic Pain,10,True,1,pain
Clonazepam,Anxiety,9,True,2,"anxiety, anxiety"
Tioconazole,Vaginal Yeast Infection,7,True,3,"yeast, infection, burned"
Methamphetamine,ADHD,10,False,0,none
Buprenorphine,Chronic Pain,5,True,1,mosquito
Sumatriptan,Cluster Headaches,9,True,2,"headaches, nightmare"
Dextroamphetamine,ADHD,10,False,0,none
Zoloft,Depression,8,True,1,depression
ParaGard,Birth Control,10,True,1,migraines
Diclofenac,Back Pain,8,True,3,"back, pain, pain"
Clarithromycin,Bronchitis,2,False,0,none
Allopurinol,Gout,10,True,2,"gout, dandruff"
Trazodone,Insomnia,6,False,0,none
Ursodiol,Gallbladder Disease,2,True,2,"loose stool, pain"
TriLyte,Bowel Preparation,4,False,0,none
Levonorgestrel,Birth Control,1,True,2,"painful, dizziness"
Plan B,Emergency Contraception,10,False,0,none
Tioconazole,Vaginal Yeast Infection,8,True,2,"scared, burning"
Valturna,High Blood Pressure,6,False,0,none
Lorzone,Muscle Spasm,9,True,5,"sciatica, injury, fall, surgery, sciatica"
Gabapentin,Anxiety,9,True,2,"anxiety, depression"
Aubra,Birth Control,2,True,2,"migra, acne"
Mirena,Birth Control,9,True,1,acne
Effexor XR,Depression,9,False,0,none
Venlafaxine,Depression,7,False,0,none
Seasonale,Birth Control,7,False,0,none
Fluoxetine,Depression,8,True,1,deaths
Desvenlafaxine,Depression,7,True,4,"anxiety, agoraphobia, depression, crying"
Ethinyl estradiol / ethynodiol,Birth Control,9,True,2,"acne, irritability"
Belsomra,Insomnia,10,True,4,"pain, painful, narcotics, insomnia"
Lorcaserin,Weight Loss,10,True,3,"sticking, com, noticeable"
Pataday,Seasonal Allergic Conjunctivitis,2,False,0,none
Ethinyl estradiol / levonorgestrel,Birth Control,10,True,3,"progesterone, progesterone, tenderness and"
Enbrel,Psoriatic Arthritis,2,True,3,"arthritis, swelling, pain"
Vyvanse,ADHD,10,False,0,none
Nexplanon,Birth Control,10,True,5,"depression, anxiety, pregnancy, headache, abdominal pain"
Sumatriptan,Migraine,10,True,5,"migraines, headache, headache, headache, migra"
Azithromycin,Pneumonia,1,False,0,none
Clonazepam,Bipolar Disorde,7,False,0,none
Tioconazole,Vaginal Yeast Infection,1,False,0,none
Yaz,Birth Control,1,True,1,pregnancy
Ethinyl estradiol / norethindrone,Birth Control,5,True,2,"acne, falling"
Amitriptyline,ibromyalgia,1,True,2,"insomnia, fatigue"
Concerta,ADHD,10,True,1,unwell
Saxagliptin,"Diabetes, Type 2",1,True,4,"nightmare, chill, headache, pain"
Chantix,Smoking Cessation,3,False,0,none
Escitalopram,Anxiety,5,True,5,"anxiety, sticking, nausea, dizziness, staring"
Ultram,Back Pain,10,False,0,none
Invokana,"Diabetes, Type 2",2,True,3,"dehydration, headaches, dizziness"
Suboxone,Opiate Dependence,10,False,0,none
Mucinex,Bronchitis,9,False,0,none
Losartan,High Blood Pressure,5,True,3,"abdominal, pains, pain"
Levora,Birth Control,3,True,6,"nausea, ulcer, nausea, antibiotics, nausea, ulcer"
Cryselle,Birth Control,2,False,0,none
Pristiq,Depression,10,True,3,"anxiety, panic attack, anxiety disorder"
Phentermine,Weight Loss,9,True,2,"dry mouth, insomnia ."
Nucynta,Pain,1,False,0,none
Vicoprofen,Pain,10,True,5,"pain, fibromyalgia, pain, fall, constipation"
Varenicline,Smoking Cessation,10,False,0,none
Effexor XR,Depression,10,True,1,crying
Lidoderm,Pain,8,True,2,"hernia, pain"
Paroxetine,Depression,4,True,4,"dizziness, nausea, depression, anxiety"
Zofran,Nausea/Vomiting,10,True,1,sickness
Remicade,"Crohn's Disease, Maintenance",10,False,0,none
Prochlorperazine,Nausea/Vomiting,1,True,4,"nausea, anxiety, nausea, painful"
Liraglutide,Obesity,10,False,0,none
AndroGel,"Hypogonadism, Male",10,False,0,none
Etonogestrel,Birth Control,7,False,0,none
Dofetilide,Arrhythmia,6,True,1,pain
Regimex,6</span> users found this comment helpful.,7,False,0,none
Phentermine / topiramate,Obesity,10,False,0,none
Tirosint,Underactive Thyroid,1,True,5,"pain, pain, muscle spasms, tremors, depression"
Glutamine,Dietary Supplementation,10,False,0,none
Ciprofloxacin,Bladder Infection,1,False,0,none
Vyvanse,ADHD,7,False,0,none
Adderall,ADHD,9,False,0,none
Eszopiclone,Insomnia,10,False,0,none
Phentermine,Weight Loss,10,False,0,none
Zarah,Birth Control,10,True,2,"progestero, anxiety"
Tamsulosin,Benign Prostatic Hyperplasia,1,False,0,none
Tindamax,Bacterial Vaginitis,10,True,2,"yeast, infection"
Diazepam,Seizures,10,True,3,"anxiety, fear, anxiety"
Levonorgestrel,Birth Control,9,True,1,dizziness
Venlafaxine,Depression,1,True,2,"anxiety, insomnia"
